Cultural_Group,Turn_Off_Shower,Washing_Half_Load,Hygiene_Method,Reuse_AC_Water,1.0,2.0,3.0,4.0,5.0
Italy_South,2.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0
Italy_South,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
Italy_South,3.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0
Italy_South,3.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0
Italy_South,3.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0
Italy_South,3.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0
Italy_South,3.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
Italy_South,4.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0
Italy_South,4.0,1.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0
Italy_South,4.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
Italy_South,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Italy_South,4.0,2.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0
Italy_South,4.0,2.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0
Italy_South,4.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0
Italy_South,4.0,3.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0
Italy_South,4.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0
Italy_South,4.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0
Italy_South,5.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0
Italy_South,5.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0
Italy_South,5.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0
Italy_South,5.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0
Italy_South,5.0,2.0,3.0,0.0,8.0,0.0,1.0,0.0,0.0
Italy_South,5.0,2.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0
Italy_South,5.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
Italy_South,5.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Italy_South,5.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0
Other_Countries,1.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0
Other_Countries,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0
Other_Countries,1.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0
Other_Countries,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Other_Countries,1.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0
Other_Countries,1.0,2.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0
Other_Countries,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
Other_Countries,1.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0
Other_Countries,1.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0
Other_Countries,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
Other_Countries,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
Other_Countries,2.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0
Other_Countries,2.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
Other_Countries,2.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
Other_Countries,3.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0
Other_Countries,3.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0
Other_Countries,3.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
Other_Countries,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Other_Countries,3.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Other_Countries,4.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0
Other_Countries,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Other_Countries,4.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0
Other_Countries,4.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Other_Countries,5.0,1.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0
Other_Countries,5.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0
Other_Countries,5.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Other_Countries,5.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0
Other_Countries,5.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0
Other_Countries,5.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
Other_Countries,5.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
Other_Countries,5.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0
